,time0,EventID
0,350.0,0
1,326.0,1
2,298.0,2
3,366.0,3
5,351.0,6
7,437.0,9
8,336.0,10
9,238.0,13
10,437.0,15
11,421.0,16
12,327.0,19
13,418.0,22
14,,23
15,117.0,25
16,276.0,27
17,344.0,28
20,308.0,37
21,433.0,38
22,,40
23,374.0,41
24,370.0,43
25,368.0,44
26,251.0,46
27,234.0,47
28,459.0,48
29,444.0,49
30,163.0,50
31,403.0,51
32,332.0,52
34,402.0,62
35,285.0,63
36,224.0,65
37,376.0,66
38,322.0,67
39,443.0,68
40,247.0,69
41,304.0,71
42,405.0,72
43,305.0,74
44,331.0,75
45,256.0,76
46,219.0,78
47,330.0,79
48,443.0,80
49,373.0,81
50,227.0,82
51,441.0,83
52,,84
53,263.0,85
54,445.0,87
55,372.0,90
57,436.0,93
58,368.0,97
59,,98
60,386.0,100
61,361.0,101
62,340.0,102
63,,104
64,441.0,106
65,381.0,111
66,296.0,114
67,247.0,115
68,379.0,116
70,254.0,119
71,445.0,123
72,,129
73,358.0,131
74,393.0,132
75,342.0,134
76,441.0,135
77,357.0,137
78,360.0,138
79,,139
80,366.0,141
81,442.0,143
82,426.0,144
83,378.0,147
84,406.0,148
85,213.0,149
86,363.0,150
87,368.0,151
88,326.0,152
90,263.0,157
91,216.0,160
92,421.0,162
93,358.0,163
95,,166
96,346.0,167
97,194.0,168
98,436.0,169
99,268.0,170
100,351.0,172
101,260.0,173
102,402.0,178
103,356.0,184
104,347.0,185
105,281.0,187
106,367.0,191
107,432.0,192
108,223.0,196
110,363.0,198
111,446.0,202
112,378.0,203
113,368.0,205
114,230.0,206
115,344.0,210
116,366.0,211
117,296.0,212
118,326.0,215
119,223.0,216
120,,218
121,434.0,219
122,398.0,221
123,368.0,223
124,386.0,224
125,355.0,225
126,343.0,227
127,313.0,228
128,422.0,229
129,393.0,230
130,,231
131,275.0,233
132,326.0,235
133,357.0,236
134,435.0,238
135,235.0,241
136,363.0,242
138,271.0,245
139,353.0,246
140,441.0,252
141,440.0,254
142,380.0,255
143,378.0,257
144,341.0,259
145,446.0,261
146,442.0,262
147,327.0,265
148,183.0,267
149,302.0,270
150,444.0,273
151,355.0,274
152,203.0,275
153,344.0,276
154,311.0,277
155,374.0,279
156,272.0,280
157,358.0,281
158,,282
159,438.0,288
160,316.0,290
162,451.0,292
163,236.0,293
164,395.0,295
165,241.0,299
166,345.0,300
167,445.0,302
168,364.0,307
169,272.0,308
170,368.0,311
171,322.0,312
172,329.0,313
173,353.0,314
174,337.0,316
175,370.0,317
176,352.0,319
177,327.0,320
178,256.0,321
179,208.0,322
180,372.0,324
181,346.0,325
182,360.0,326
183,366.0,328
184,369.0,329
185,283.0,331
187,357.0,335
188,393.0,336
189,379.0,339
190,369.0,340
191,,341
192,354.0,342
193,,343
194,373.0,344
195,444.0,345
196,,348
197,441.0,351
198,370.0,352
199,391.0,353
201,441.0,356
202,226.0,360
203,451.0,362
204,,363
205,409.0,364
206,221.0,365
207,371.0,366
208,371.0,370
209,318.0,372
210,367.0,373
211,364.0,374
212,393.0,375
213,325.0,376
214,373.0,378
215,364.0,379
216,351.0,380
217,,383
218,,384
220,,387
221,372.0,391
222,327.0,394
223,238.0,395
224,222.0,396
225,217.0,398
226,,399
227,357.0,400
228,375.0,404
229,,405
230,343.0,408
231,358.0,409
232,369.0,410
233,327.0,412
234,427.0,413
235,368.0,414
236,351.0,415
237,325.0,417
238,371.0,419
239,354.0,421
240,,423
